dataset,total_shots,seed,comparison,order_id,metric,deterministic_value,evaluated_unique_permutation_mean,difference,evaluated_unique_permutation_count
rte,2,4,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.8648344221671547,0.8673586583861497,-0.002524236218995002,2
rte,2,5,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.84,0.835,0.0050000000000000044,2
rte,2,5,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.839421918908069,0.834497926872581,0.004923992035488101,2
rte,2,5,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.84,0.835,0.0050000000000000044,2
rte,2,5,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.839421918908069,0.834497926872581,0.004923992035488101,2
rte,2,5,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.84,0.835,0.0050000000000000044,2
rte,2,5,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.839421918908069,0.834497926872581,0.004923992035488101,2
rte,4,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.855,0.85375,0.0012499999999999734,24
rte,4,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.8549963749093727,0.8536808203973795,0.0013155545119932777,24
rte,4,1,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.865,0.85375,0.011249999999999982,24
rte,4,1,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.8649696181640869,0.8536808203973795,0.011288797766707437,24
rte,4,1,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.855,0.85375,0.0012499999999999734,24
rte,4,1,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.8548221571424995,0.8536808203973795,0.0011413367451200696,24
rte,4,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.83,0.830625,-0.0006249999999999867,24
rte,4,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.8295739348370927,0.8301624050257845,-0.000588470188691792,24
rte,4,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.835,0.830625,0.004375000000000018,24
rte,4,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.8346651970239736,0.8301624050257845,0.004502791998189037,24
rte,4,2,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.83,0.830625,-0.0006249999999999867,24
rte,4,2,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.8293857888398235,0.8301624050257845,-0.0007766161859610321,24
rte,4,3,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.835,0.8352083333333333,-0.0002083333333333659,24
rte,4,3,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.8337991992143234,0.8333885871481108,0.00041061206621262336,24
rte,4,3,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.825,0.8352083333333333,-0.010208333333333375,24
rte,4,3,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.822654607179955,0.8333885871481108,-0.010733979968155838,24
rte,4,3,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.82,0.8352083333333333,-0.01520833333333338,24
rte,4,3,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.8173701298701298,0.8333885871481108,-0.016018457277981013,24
rte,4,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.875,0.8820833333333333,-0.00708333333333333,24
rte,4,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.8749218261413383,0.8820220140881214,-0.007100187946783132,24
rte,4,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.86,0.8820833333333333,-0.022083333333333344,24
